playtime,joincount,game_interactions,tnt_ratio,grieferbool
45,40,447,5,0
147,3,953,12,0
204,43,85,8,0
551,7,255,21,0
26,35,563,11,0
49,20,458,24,1
311,1,995,24,0
36,14,159,12,1
16,2,8,26,1
188,17,507,29,0
44,8,8,22,1
33,15,73,19,1
18,4,467,27,1
349,38,967,27,0
28,10,88,12,1
645,32,142,17,0
46,19,306,23,1
22,14,398,18,1
19,13,197,21,1
48,2,155,18,1
801,15,975,17,0
35,17,149,15,1
10,18,277,24,1
638,16,438,18,0
44,7,267,19,1
766,20,136,28,0
25,17,100,28,1
148,44,634,9,0
15,11,326,25,1
34,15,438,20,1
9,7,497,20,1
116,31,677,9,0
588,2,856,21,0
19,5,404,13,1
328,8,859,4,0
910,11,468,28,0
49,7,1,28,1
49,11,320,30,1
38,15,191,16,1
955,36,106,16,0
23,1,361,12,1
50,20,57,22,1
31,5,408,20,1
6,12,55,21,1
359,11,731,20,0
2,10,381,14,1
14,17,402,25,1
927,38,725,28,0
42,8,500,28,1
280,0,844,22,0
10,0,85,28,1
194,36,629,29,0
897,19,240,16,0
45,10,160,27,1
19,9,125,13,1
140,6,566,11,0
595,34,301,16,0
698,26,785,23,0
428,10,723,22,0
553,7,221,9,0
946,9,390,1,0
29,13,352,17,1
22,11,458,16,1
40,12,200,20,1
4,5,436,21,1
19,24,85,2,0
9,6,285,26,1
462,23,255,23,0
38,20,12,18,1
41,5,486,12,1
18,16,388,17,1
24,2,87,17,1
498,15,843,6,0
26,7,139,22,1
770,47,871,12,0
21,2,303,27,1
91,50,120,2,0
37,0,477,10,1
824,42,902,13,0
13,11,36,17,1
4,15,349,10,1
980,42,71,8,0
42,2,411,12,1
36,12,12,29,1
17,12,410,15,1
25,9,140,12,1
49,5,485,13,1
12,20,211,30,1
18,6,427,21,1
740,41,836,20,0
7,5,286,30,1
41,14,124,12,1
50,12,221,16,1
40,1,32,12,1
44,9,6,20,1
1,13,437,19,1
38,19,347,21,1
220,13,754,6,0
20,19,0,26,1
195,32,462,22,0
910,21,110,25,0
88,41,884,9,0
42,20,287,27,1
41,19,320,21,1
0,19,214,21,1
23,16,176,14,1
785,48,30,19,0
6,3,463,16,1
20,12,232,27,1
17,16,93,18,1
4,4,472,10,1
658,13,220,28,0
37,3,429,12,1
840,28,437,24,0
306,7,879,0,0
35,5,296,15,1
2,14,109,23,1
20,11,365,30,1
867,17,684,16,0
637,46,553,8,0
30,3,424,20,1
1,1,258,12,1
3,6,111,14,1
16,13,385,17,1
6,0,141,30,1
26,15,274,20,1
372,6,956,4,0
427,3,115,13,0
983,24,298,10,0
472,20,656,26,0
736,13,681,19,0
43,7,323,23,1
11,2,43,13,1
31,15,117,28,1
26,3,446,14,1
872,10,19,5,0
290,22,758,4,0
54,24,916,17,0
25,6,33,15,1
2,1,986,13,0
54,9,687,7,0
22,9,309,27,1
3,12,167,17,1
993,27,684,11,0
508,22,542,26,0
60,13,696,15,0
26,9,52,15,1
15,17,133,12,1
446,50,392,29,0
330,36,279,9,0
5,20,402,12,1
48,3,449,12,1
8,1,422,14,1
7,8,462,16,1
27,6,273,23,1
483,46,251,0,0
26,8,146,25,1
37,9,161,14,1
2,6,202,20,1
8,7,309,28,1
287,34,960,24,0
54,6,900,22,0
25,17,359,13,1
550,14,391,2,0
570,27,627,8,0
47,5,125,21,1
2,4,144,29,1
577,46,613,18,0
12,10,88,12,1
38,18,111,17,1
34,3,183,13,1
25,8,324,18,1
11,2,500,20,1
27,8,462,29,1
47,5,170,23,1
38,13,331,19,1
40,8,451,13,1
19,20,399,24,1
16,8,450,26,1
88,22,597,14,0
46,11,194,20,1
482,18,525,9,0
1,3,375,27,1
25,20,346,15,1
695,33,17,21,0
38,0,3,20,1
35,9,349,27,1
547,46,970,17,0
10,16,432,22,1
34,20,475,11,1
630,9,840,16,0
511,38,428,17,0
424,2,415,15,0
42,1,221,11,1
5,10,131,12,1
14,0,405,28,1
47,17,364,18,1
388,22,645,14,0
49,5,138,13,1
386,15,481,16,0
33,11,78,17,1
18,8,7,28,1
730,24,589,3,0
289,14,628,24,0
45,15,211,21,1
11,4,95,14,1
32,10,426,20,1
42,15,404,28,1
22,3,41,22,1
12,4,186,30,1
737,29,270,19,0
178,44,350,7,0
338,15,708,25,0
935,19,72,10,0
54,37,80,21,0
48,0,234,29,1
50,8,351,20,1
221,43,53,4,0
11,0,425,19,1
647,37,171,2,0
425,4,974,5,0
365,3,879,8,0
50,20,174,10,1
31,5,341,19,1
18,2,1,19,1
893,30,760,30,0
27,4,414,28,1
4,8,117,26,1
546,3,890,13,0
9,0,170,25,1
327,21,983,24,0
471,8,494,13,0
851,8,447,7,0
391,39,493,17,0
724,15,861,1,0
411,25,776,0,0
253,38,761,30,0
333,27,105,28,0
19,16,306,15,1
719,1,222,16,0
354,12,269,3,0
47,11,65,13,1
398,16,533,10,0
323,27,285,12,0
49,26,776,29,0
211,4,753,14,0
819,27,733,24,0
38,20,175,29,1
6,11,155,30,1
461,41,489,20,0
48,4,85,29,1
7,1,59,15,1
229,34,127,7,0
15,9,14,30,1
553,39,507,8,0
629,37,21,17,0
11,7,448,12,1
23,16,211,28,1
10,18,147,13,1
50,0,379,12,1
959,44,858,11,0
48,9,487,14,1
31,13,892,12,0
0,11,368,30,1
28,20,319,11,1
21,15,431,20,1
