playtime,joincount,game_interactions,tnt_ratio,grieferbool
32,18,407,14,1
247,1,988,8,0
15,11,390,10,1
38,12,218,16,1
171,0,730,1,0
8,6,218,14,1
40,13,360,20,1
60,24,196,12,0
160,38,456,25,0
12,17,459,14,1
28,7,374,16,1
457,41,320,21,0
7,7,46,12,1
95,33,445,5,0
641,32,403,8,0
640,15,727,14,0
213,32,100,15,0
96,36,555,4,0
180,42,718,22,0
45,3,261,20,1
30,20,134,14,1
247,36,849,7,0
0,16,309,27,1
49,3,276,15,1
14,8,223,24,1
111,7,240,15,0
20,14,294,24,1
901,14,638,19,0
338,45,487,25,0
477,1,447,15,0
12,14,368,20,1
573,1,87,18,0
9,5,76,12,1
36,1,353,15,1
358,29,104,3,0
47,0,429,25,1
749,21,311,24,0
24,0,401,17,1
40,13,241,30,1
397,10,511,0,0
36,7,31,30,1
15,9,338,19,1
41,2,259,14,1
50,6,19,27,1
35,1,76,23,1
530,20,429,13,0
228,33,836,9,0
3,8,98,30,1
731,50,543,18,0
0,11,467,19,1
34,19,356,19,1
550,22,580,12,0
10,6,165,30,1
8,7,487,12,1
698,47,325,11,0
542,50,961,28,0
31,1,73,23,1
40,13,425,21,1
949,43,124,27,0
81,41,437,22,0
751,34,90,21,0
26,11,376,10,1
556,10,775,1,0
989,13,890,4,0
35,4,142,17,1
954,19,175,1,0
3,16,3,18,1
449,50,8,18,0
22,0,272,13,1
595,50,551,0,0
854,37,488,4,0
7,5,191,30,1
418,7,135,16,0
846,41,933,4,0
282,35,2,24,0
883,18,901,9,0
10,2,454,29,1
295,31,806,15,0
279,44,597,17,0
352,46,202,12,0
42,0,20,13,1
332,36,133,16,0
398,38,243,22,0
55,13,360,30,0
703,37,490,26,0
170,16,577,8,0
452,0,616,27,0
634,35,287,26,0
350,41,106,25,0
550,25,544,18,0
37,10,491,30,1
2,11,426,20,1
417,5,646,20,0
154,4,74,23,0
708,14,230,16,0
43,17,79,14,1
40,8,210,17,1
725,31,791,25,0
38,16,436,17,1
458,43,135,3,0
626,3,301,11,0
15,9,5,19,1
4,11,41,17,1
4,6,265,16,1
27,2,343,11,1
48,13,305,11,1
828,11,802,21,0
246,19,610,8,0
919,44,652,5,0
855,23,191,26,0
45,15,13,23,1
180,33,115,14,0
28,9,220,25,1
31,16,200,22,1
136,5,166,2,0
34,12,355,22,1
16,15,274,25,1
4,12,251,23,1
24,16,24,24,1
46,20,242,15,1
18,3,33,29,1
12,0,438,17,1
274,19,249,2,0
449,46,630,11,0
897,40,395,22,0
369,24,705,28,0
731,1,933,12,0
23,5,233,17,1
128,5,943,27,0
448,16,364,16,0
2,8,301,10,1
8,14,208,30,1
7,1,162,18,1
863,46,397,29,0
810,39,192,29,0
11,10,434,14,1
722,13,71,3,0
364,48,73,12,0
676,13,254,30,0
13,8,383,29,1
516,1,476,23,0
6,15,12,29,1
33,7,225,14,1
383,27,916,24,0
29,1,489,10,1
47,17,135,14,1
12,9,252,23,1
680,47,452,30,0
488,35,6,20,0
217,40,366,23,0
922,31,572,19,0
324,43,511,7,0
38,0,316,28,1
864,45,527,5,0
794,9,985,22,0
22,5,150,27,1
686,48,93,12,0
655,5,741,15,0
579,19,478,1,0
929,3,513,24,0
30,17,425,16,1
235,0,995,14,0
94,37,125,14,0
14,8,86,26,1
49,9,97,13,1
574,29,774,21,0
706,6,823,9,0
32,4,286,11,1
24,1,472,27,1
17,45,626,8,0
38,5,363,21,1
12,17,312,16,1
47,9,400,29,1
840,10,933,24,0
12,16,152,19,1
536,37,584,29,0
